"","Subject","Simon.Score","Ospan.Recall.Computer","PN.AVG.RT","Simon.Score_Z","PN.AVG.RT_Z","rev_temp_Z","summedZ","var_across","cov_all","composite"
"1",1204,65.9,52,1010.37,0.994904542515115,-0.398952763627639,-0.606556135077843,-0.010604356190368,0.758435608600254,0.224438351603668,-0.0106963447541537
"2",1205,26.2,57,823.53,-0.931313237904032,-1.24303725808725,-1.31147272449263,-3.48582322048392,0.0410627521774369,0.224438351603668,-6.76506841737194
"3",1206,55,52,1300.67,0.466043741342099,0.912531547770487,-0.606556135077843,0.772019154034743,0.609574874061136,0.224438351603668,0.845359829092719
"4",1207,38.1,42,1232.68,-0.353933097173859,0.605374061267012,0.803277043751738,1.05471800784489,0.383095187495548,0.224438351603668,1.35316648243797
"5",1208,54.3,51,814.3,0.432080203652089,-1.28473550195292,-0.465572817194885,-1.31822811549572,0.737377436157957,0.224438351603668,-1.34414035283943
"6",1210,43,51,1172.98,-0.116188333343789,0.335668193576802,-0.465572817194885,-0.246092956961872,0.161371832636512,0.224438351603668,-0.396198056520961
"7",1211,40.2,36,1194.66,-0.252042484103829,0.43361163095576,1.64917695104949,1.83074609790142,0.927059325586234,0.224438351603668,1.70606896973684
"8",1213,34.4,50,1115.57,-0.533454653535342,0.0763078273440547,-0.324589499311927,-0.781736325503214,0.0960256003761466,0.224438351603668,-1.38092693632912
"9",1214,38.1,52,943.02,-0.353933097173859,-0.703218930946495,-0.606556135077843,-1.6637081631982,0.0325271148432046,0.224438351603668,-3.28200898978846
"10",1215,38.28,57,NA,-0.345199616053571,NA,-1.31147272449263,NA,NA,0.224438351603668,NA
"11",1216,19.47,58,833.28,-1.2578483931237,-1.19898981738408,-1.45245604237559,-3.90929425288337,0.0175969327161489,0.224438351603668,-7.94619136239723
"12",1218,66.9,56,961.69,1.04342388207227,-0.618873729107697,-1.17048940660968,-0.745939253645101,1.32815420893385,0.224438351603668,-0.598652377012816
"13",1240,68.9,32,NA,1.14046256118659,NA,2.21311022258132,NA,NA,0.224438351603668,NA
"14",1241,49.6,47,969.02,0.20403930773345,-0.585759089071361,0.0983604543369472,-0.283359327000964,0.183828179553974,0.224438351603668,-0.443471406181612
"15",1242,32.8,51,994.87,-0.611085596826793,-0.468976900130122,-0.465572817194885,-1.5456353141518,0.00689673974894344,0.224438351603668,-3.21355896955684
"16",1243,27,46,1100.95,-0.892497766258306,0.0102592547204224,0.239343772219905,-0.642894739317978,0.358085870551514,0.224438351603668,-0.842331181435837
"17",1244,68.6,51,834.44,1.12590675931944,-1.19374930136196,-0.465572817194885,-0.533415359237402,1.40730874573534,0.224438351603668,-0.417579425313841
"18",1245,66.4,NA,1044.48,1.01916421229369,-0.244854486459916,NA,NA,NA,0.224438351603668,NA
"19",1246,45.6,42,1068.81,0.00996194950482056,-0.134939180582147,0.803277043751738,0.678299812674412,0.255099143310634,0.224438351603668,0.979513468537555
"20",1247,85.5,45,1059.02,1.9458835978354,-0.179167328734361,0.380327090102863,2.1470433592039,1.21330710402145,0.224438351603668,1.79060508405731
"21",1248,42.2,NA,669.22,-0.155003804989514,-1.94016141961617,NA,NA,NA,0.224438351603668,NA
"22",1249,62.3,49,1026.71,0.820234920109348,-0.325133770695343,-0.183606181428969,0.311494967985035,0.389932742256144,0.224438351603668,0.397407124191268
"23",1251,82.3,NA,1288.78,1.79062171125249,0.858816258543742,NA,NA,NA,0.224438351603668,NA
"24",1252,23.6,44,869.24,-1.05746352075264,-1.03653382069832,0.521310407985822,-1.57268693346513,0.819973968542186,0.224438351603668,-1.53888542140323
"25",1253,46,NA,NA,0.0293696853276834,NA,NA,NA,NA,0.224438351603668,NA
"26",1280,52.7,48,732.39,0.354449260360638,-1.65477918072186,-0.0426228635460109,-1.34295278390723,1.13228553184142,0.224438351603668,-1.15296203953287
"27",1281,31.6,40,1272.33,-0.669308804295382,0.78450032012659,1.08524367951765,1.20043519534886,0.88041032615415,0.224438351603668,1.14205578967443
"28",1282,109.6,53,1001.34,3.11519968116289,-0.439747470248118,-0.747539452960802,1.92791275795397,4.60885646203968,0.224438351603668,0.87693162839761
"29",1283,40.9,34,1296,-0.218078946413819,0.891433953095222,1.9311435868154,2.60449859349681,1.15519541566129,0.224438351603668,2.2173906888569
"30",1284,60.8,50,1024.66,0.747455910773612,-0.334395027458575,-0.324589499311927,0.0884713840031096,0.386629827036928,0.224438351603668,0.113176950266139
"31",1286,2.4,54,1500.21,-2.08607351936438,1.81399065729988,-0.88852277084376,-1.16060563290826,3.9913678677798,0.224438351603668,-0.565254923638607
"32",1287,35.2,56,838.16,-0.494639181889616,-1.17694350860136,-1.17048940660968,-2.84207209710065,0.153725729322707,0.224438351603668,-4.62162765026986
"33",1288,19.1,48,1539.91,-1.27580054875985,1.99334280047075,-0.0426228635460109,0.674919388164894,2.72553027103054,0.224438351603668,0.39295534986902
"34",1289,76.8,39,1651.6,1.52376534368813,2.49792317504897,1.22622699740061,5.24791551613771,0.442453952693102,0.224438351603668,6.42627019960514
"35",1290,47.5,33,1435.76,0.102148694663419,1.52282578003632,2.07212690469836,3.6971013793981,1.03347820907852,0.224438351603668,3.2963661236793
"36",1291,36.9,51,1233.88,-0.412156304642448,0.610795284738173,-0.465572817194885,-0.266933837099161,0.36797526148143,0.224438351603668,-0.346809603132771
"37",1292,33.1,43,998.63,-0.596529794959646,-0.451990399920488,0.66229372586878,-0.386226469011354,0.474526234382519,0.224438351603668,-0.461970716849921
"38",1294,69.8,49,965.28,1.18412996678803,-0.602655235556476,-0.183606181428969,0.397868549802582,0.873150940036986,0.224438351603668,0.379769148041814
"39",1296,28.9,32,1378.56,-0.800311021099707,1.26441412791103,2.21311022258132,2.67721332939264,2.3739703021447,0.224438351603668,1.66084556700042
"40",1297,40.1,54,1121.57,-0.256894418059545,0.103413944699855,-0.88852277084376,-1.04200324420345,0.252119156659786,0.224438351603668,-1.50942456270994
"41",1298,18.9,50,1034.6,-1.28550441667128,-0.289489226372467,-0.324589499311927,-1.89958314235567,0.319439294478356,0.224438351603668,-2.57577368633157
"42",1299,40.7,56,978.39,-0.22778281432525,-0.543428369134053,-1.17048940660968,-1.94170059006898,0.230255563354513,0.224438351603668,-2.8795371870762
"43",1300,41,43,992.94,-0.213227012458103,-0.477696034546238,0.66229372586878,-0.0286293211355614,0.356009513455966,0.224438351603668,-0.0375776347643773
"44",1301,35.1,44,1166.74,-0.499491115845331,0.30747783152677,0.521310407985822,0.32929712366726,0.289826500638993,0.224438351603668,0.45919221405483
"45",1302,31.2,46,1339.27,-0.688716540118245,1.0869142360928,0.239343772219905,0.63754146819446,0.788756047999123,0.224438351603668,0.633376648944316
"46",1303,15.1,55,1407.69,-1.46987790698848,1.39601432767344,-1.02950608872672,-1.10336966804176,2.38173582156477,0.224438351603668,-0.683469789147318
"47",1304,45.5,52,1103.68,0.00511001554910476,0.0225925381173115,-0.606556135077843,-0.578853581411427,0.12837819523356,0.224438351603668,-0.974527843852182
